Unnamed: 0,temperature,humidity,wind speed,precipitation (%),cloud cover,atmospheric pressure,uv index,season,visibility (km),location,weather type
10817,33.0,46,6.0,6.0,partly cloudy,1023.19,10,Spring,9.5,inland,2
306,26.0,27,5.5,14.0,partly cloudy,1027.6,7,Spring,7.5,coastal,2
9651,15.0,70,9.0,47.0,overcast,1013.5,1,Summer,7.0,mountain,0
2463,18.0,87,15.0,81.0,overcast,991.2,3,Winter,2.5,inland,1
11697,18.0,69,0.5,20.0,overcast,1004.24,4,Spring,5.5,mountain,0
7256,16.0,71,0.5,29.0,partly cloudy,1004.34,4,Summer,7.5,inland,0
245,32.0,59,0.5,18.0,partly cloudy,1016.89,2,Spring,7.0,inland,0
7643,31.0,81,9.5,75.0,overcast,999.13,2,Summer,2.0,inland,1
607,30.0,60,6.5,75.0,overcast,998.88,1,Autumn,4.0,coastal,1
8308,10.0,60,9.0,78.0,overcast,1011.26,1,Winter,3.5,coastal,1
4903,1.0,85,8.5,73.0,overcast,986.96,1,Winter,2.0,mountain,3
573,23.0,94,18.0,50.0,partly cloudy,1003.54,1,Summer,2.0,mountain,1
13131,1.0,93,12.5,98.0,overcast,988.78,0,Winter,4.0,inland,3
11626,34.0,60,20.0,82.0,overcast,990.6,3,Spring,3.0,coastal,1
8914,14.0,96,10.5,75.0,partly cloudy,1004.21,2,Winter,1.0,inland,1
2151,14.0,42,10.5,83.0,cloudy,1078.65,7,Winter,10.0,mountain,1
7020,12.0,73,12.5,17.0,overcast,1010.3,3,Autumn,7.0,coastal,0
4961,3.0,67,15.0,96.0,partly cloudy,984.37,0,Winter,5.0,mountain,3
10779,-8.0,69,4.5,68.0,partly cloudy,996.66,1,Winter,4.5,mountain,3
8364,32.0,72,9.5,51.0,partly cloudy,991.03,1,Spring,2.0,inland,1
7934,23.0,74,19.5,92.0,overcast,998.93,1,Winter,2.0,inland,1
6818,-3.0,61,1.5,50.0,overcast,990.06,1,Winter,4.0,mountain,3
1087,-5.0,66,5.5,72.0,overcast,993.83,0,Winter,3.0,inland,3
2607,34.0,55,2.5,32.0,overcast,1003.6,2,Winter,5.0,inland,0
1196,-7.0,70,5.0,82.0,partly cloudy,999.14,1,Winter,2.0,mountain,3
12241,32.0,70,17.0,63.0,overcast,996.92,0,Spring,4.0,coastal,1
1810,22.0,63,6.5,58.0,overcast,1007.89,1,Autumn,3.0,mountain,1
1604,2.0,88,3.5,65.0,overcast,980.94,1,Winter,1.0,inland,3
10530,25.0,61,13.0,79.0,overcast,1002.02,1,Winter,2.5,inland,1
6532,31.0,70,9.0,12.0,overcast,1017.9,2,Autumn,8.5,mountain,0
4315,28.0,88,14.5,73.0,overcast,990.95,10,Summer,3.5,mountain,1
10183,-10.0,93,18.0,63.0,partly cloudy,994.99,0,Winter,5.0,inland,3
5673,33.0,65,9.5,0.0,partly cloudy,1026.33,5,Autumn,5.0,mountain,2
2879,23.0,55,6.5,11.0,clear,1024.61,9,Autumn,7.0,inland,2
2494,-3.0,86,13.5,93.0,overcast,986.03,0,Winter,4.0,inland,3
8245,4.0,99,4.0,73.0,overcast,999.61,0,Winter,4.0,inland,3
11463,25.0,73,11.5,45.0,overcast,1019.81,4,Summer,6.5,coastal,0
1265,23.0,47,7.0,14.0,partly cloudy,1026.61,6,Spring,9.5,coastal,2
4612,28.0,76,13.0,46.0,overcast,1012.64,3,Autumn,5.5,coastal,0
10050,27.0,39,7.0,4.0,clear,1019.02,9,Autumn,6.0,inland,2
7861,4.0,67,16.5,56.0,partly cloudy,997.99,0,Winter,2.0,mountain,3
8712,-8.0,71,11.5,14.0,partly cloudy,952.25,5,Spring,0.5,mountain,3
2659,27.0,51,4.5,34.0,partly cloudy,1011.34,4,Summer,6.0,mountain,0
7954,24.0,33,5.5,5.0,clear,1013.74,5,Autumn,6.0,mountain,2
2567,12.0,60,11.5,83.0,overcast,990.22,2,Spring,2.5,inland,1
4159,14.0,57,4.0,14.0,partly cloudy,1012.62,1,Summer,8.5,mountain,0
284,18.0,87,18.0,58.0,overcast,1001.57,1,Summer,1.5,inland,1
7786,26.0,94,17.0,84.0,partly cloudy,1002.74,2,Autumn,2.0,inland,1
10384,34.0,65,10.5,45.0,partly cloudy,1005.25,2,Autumn,7.5,coastal,0
8187,-10.0,98,9.5,61.0,overcast,990.42,0,Winter,5.0,inland,3
11599,-4.0,80,18.0,54.0,overcast,989.18,1,Winter,1.0,inland,3
9735,-8.0,84,0.5,93.0,partly cloudy,999.65,0,Winter,3.0,inland,3
11036,22.0,38,6.5,6.0,partly cloudy,1027.68,6,Autumn,6.0,coastal,2
257,43.0,24,7.0,1.0,clear,1020.87,9,Summer,7.0,inland,2
4665,10.0,83,7.5,69.0,partly cloudy,1005.71,3,Spring,2.0,mountain,1
7091,-2.0,76,17.5,78.0,overcast,995.71,0,Winter,4.5,mountain,3
4312,2.0,78,5.5,71.0,partly cloudy,991.85,0,Winter,3.5,inland,3
12568,33.0,77,12.0,65.0,partly cloudy,997.76,1,Autumn,4.5,coastal,1
12833,3.0,93,1.5,57.0,overcast,985.59,1,Winter,2.0,mountain,3
6479,11.0,59,1.0,10.0,overcast,1014.57,1,Summer,7.0,coastal,0
5265,30.0,64,12.5,15.0,partly cloudy,1006.63,1,Autumn,7.5,inland,0
2159,19.0,55,8.5,29.0,partly cloudy,1017.26,3,Winter,7.0,coastal,0
11545,12.0,68,18.5,82.0,partly cloudy,1017.44,2,Winter,2.0,coastal,1
421,15.0,88,11.0,60.0,partly cloudy,999.44,1,Autumn,3.0,mountain,1
11681,21.0,73,8.5,81.0,overcast,1015.46,3,Autumn,3.0,mountain,1
3321,25.0,74,9.5,94.0,partly cloudy,991.25,2,Spring,1.5,inland,1
8163,-4.0,74,7.0,63.0,overcast,989.74,0,Winter,2.0,inland,3
9930,-7.0,87,0.5,96.0,overcast,983.82,1,Winter,3.0,inland,3
11307,31.0,94,15.0,67.0,partly cloudy,1004.99,0,Autumn,3.0,coastal,1
1538,-7.0,67,18.0,50.0,overcast,999.37,1,Winter,1.5,mountain,3
10546,-4.0,97,20.0,53.0,overcast,982.49,0,Winter,2.5,mountain,3
6086,-2.0,96,13.5,77.0,overcast,990.92,1,Winter,4.5,inland,3
2678,-2.0,71,16.0,83.0,overcast,983.38,0,Winter,3.0,inland,3
13057,34.0,39,7.5,16.0,partly cloudy,1025.98,7,Spring,9.5,mountain,2
9055,26.0,86,15.0,91.0,partly cloudy,1015.42,0,Spring,3.5,inland,0
2631,-8.0,67,19.0,89.0,overcast,995.9,0,Winter,3.0,inland,3
9089,11.0,69,2.5,42.0,partly cloudy,1008.32,4,Summer,8.0,mountain,0
13023,14.0,76,12.5,74.0,overcast,993.05,0,Autumn,4.0,mountain,1
5589,-1.0,61,12.0,81.0,overcast,999.12,0,Winter,3.0,mountain,3
1278,41.0,39,3.0,0.0,clear,1013.5,6,Winter,6.0,mountain,2
4454,24.0,73,9.5,28.0,partly cloudy,1019.73,4,Spring,7.5,inland,0
12244,18.0,71,14.5,19.0,overcast,1012.02,1,Summer,5.5,inland,0
10008,40.0,36,7.5,15.0,partly cloudy,1016.03,7,Winter,10.0,inland,2
2398,-2.0,64,14.0,63.0,partly cloudy,994.6,0,Winter,4.0,mountain,3
435,-5.0,87,3.5,52.0,overcast,985.21,0,Winter,1.0,inland,3
4014,-7.0,92,9.0,61.0,overcast,995.24,1,Winter,2.0,inland,3
2749,42.0,23,9.5,11.0,partly cloudy,1017.11,7,Spring,9.5,mountain,2
5685,25.0,63,0.5,46.0,overcast,1016.21,3,Spring,5.5,coastal,0
2406,25.0,62,1.0,33.0,partly cloudy,1003.39,3,Spring,5.5,mountain,0
9462,0.0,90,4.0,72.0,overcast,988.33,0,Winter,3.0,inland,3
9619,28.0,51,14.0,31.0,partly cloudy,1018.67,2,Summer,8.5,inland,0
6932,20.0,22,4.5,18.0,partly cloudy,1014.29,10,Summer,8.5,inland,2
5454,20.0,89,17.5,80.0,partly cloudy,995.84,1,Winter,3.5,coastal,1
700,28.0,63,5.0,2.0,clear,1010.5,10,Winter,7.5,coastal,2
1985,25.0,69,2.0,29.0,partly cloudy,1014.87,2,Autumn,5.0,coastal,0
6937,-2.0,65,14.0,95.0,partly cloudy,995.34,1,Winter,1.5,inland,3
2717,32.0,48,4.0,7.0,clear,1021.88,6,Autumn,10.0,inland,2
6636,20.0,82,11.0,99.0,partly cloudy,999.98,2,Autumn,5.0,mountain,1
3179,22.0,51,2.0,9.0,clear,1017.16,5,Spring,6.0,inland,2
9395,2.0,78,11.5,59.0,overcast,991.02,1,Winter,1.5,inland,3
3408,13.0,87,20.0,86.0,partly cloudy,994.76,3,Winter,5.0,coastal,1
2784,11.0,56,10.5,46.0,overcast,1006.74,4,Summer,8.5,inland,0
1403,18.0,64,15.5,96.0,overcast,997.09,1,Winter,4.5,inland,1
3795,26.0,71,2.0,38.0,partly cloudy,1002.85,2,Spring,8.0,inland,0
5914,26.0,96,15.5,89.0,partly cloudy,996.26,2,Spring,4.5,coastal,1
4901,42.0,42,6.0,10.0,clear,1019.78,7,Autumn,6.0,coastal,2
6873,-1.0,64,11.0,95.0,overcast,987.04,1,Winter,2.0,inland,3
9061,37.0,47,9.5,2.0,clear,1017.17,9,Winter,7.0,mountain,2
11627,21.0,54,0.5,16.0,partly cloudy,1026.53,9,Summer,9.5,inland,2
10232,16.0,66,9.0,71.0,overcast,1006.19,1,Summer,4.5,inland,1
1041,36.0,58,6.5,13.0,clear,1011.95,9,Autumn,8.5,inland,2
4840,15.0,70,11.0,61.0,overcast,1018.35,2,Autumn,4.5,coastal,1
2839,-8.0,88,12.0,80.0,overcast,993.19,1,Winter,4.5,inland,3
7563,22.0,74,18.0,85.0,partly cloudy,1009.25,3,Winter,5.0,inland,1
103,-3.0,82,0.0,65.0,overcast,991.66,0,Winter,1.5,inland,3
1658,44.0,60,10.0,17.0,partly cloudy,1019.82,9,Winter,6.5,coastal,2
8259,34.0,71,9.0,13.0,overcast,1004.2,2,Autumn,6.5,coastal,0
5486,4.0,95,12.5,73.0,overcast,983.52,0,Winter,1.0,inland,3
2023,24.0,46,1.5,8.0,clear,1011.28,7,Spring,5.5,coastal,2
3392,30.0,73,13.0,78.0,partly cloudy,999.13,0,Summer,2.5,coastal,1
1052,16.0,70,14.0,57.0,overcast,1015.77,0,Summer,4.5,coastal,1
6540,-1.0,91,2.0,91.0,partly cloudy,999.65,1,Winter,3.0,inland,3
7013,35.0,64,3.5,16.0,clear,1018.53,5,Winter,7.5,inland,2
3022,35.0,51,3.0,7.0,clear,1025.7,9,Autumn,9.0,inland,2
6057,27.0,57,11.5,37.0,partly cloudy,1000.52,4,Summer,7.0,inland,0
4616,-10.0,79,3.0,87.0,overcast,993.41,0,Winter,1.0,inland,3
6968,28.0,67,7.0,11.0,overcast,1006.94,1,Summer,7.0,mountain,0
2061,-9.0,73,14.5,75.0,overcast,990.27,0,Winter,2.0,mountain,3
7855,22.0,22,5.0,9.0,clear,1013.68,5,Spring,8.0,mountain,2
7351,39.0,50,9.5,15.0,partly cloudy,1017.56,8,Spring,6.0,inland,2
3921,40.0,48,4.0,12.0,clear,1012.82,9,Winter,9.5,mountain,2
7123,16.0,54,13.5,23.0,partly cloudy,1004.39,1,Spring,6.5,mountain,0
9188,25.0,98,15.5,61.0,overcast,1015.99,0,Summer,4.5,mountain,1
10517,29.0,75,8.0,45.0,partly cloudy,1001.95,1,Autumn,8.5,inland,0
9443,30.0,64,4.0,16.0,partly cloudy,1016.96,9,Spring,7.5,coastal,2
4407,24.0,60,11.5,72.0,overcast,990.85,3,Spring,1.0,coastal,1
3380,37.0,63,3.5,17.0,clear,1025.55,7,Winter,5.5,coastal,2
8974,-4.0,71,1.5,76.0,partly cloudy,989.67,1,Winter,3.0,inland,3
5233,22.0,89,6.5,75.0,overcast,1018.98,2,Summer,3.5,inland,1
953,16.0,61,13.0,80.0,overcast,995.72,3,Winter,5.0,coastal,1
7738,44.0,63,8.5,14.0,clear,1016.61,7,Winter,5.5,coastal,2
2965,-10.0,94,14.5,88.0,partly cloudy,989.37,1,Winter,1.0,mountain,3
3049,4.0,74,7.0,62.0,overcast,999.73,0,Winter,3.0,mountain,3
6640,30.0,79,5.0,58.0,overcast,1001.2,2,Summer,2.0,mountain,1
3813,-5.0,96,2.0,93.0,overcast,991.2,1,Winter,3.0,inland,3
3474,1.0,95,9.5,75.0,overcast,988.27,1,Winter,5.0,inland,3
10835,32.0,96,13.0,97.0,clear,1012.08,4,Winter,7.5,inland,2
9925,38.0,23,9.5,2.0,partly cloudy,1025.88,6,Winter,6.0,coastal,2
11022,12.0,68,13.5,35.0,overcast,1003.46,4,Spring,7.0,inland,0
12731,28.0,76,9.0,13.0,partly cloudy,1010.43,2,Summer,8.5,coastal,0
6379,17.0,74,1.0,31.0,partly cloudy,1018.03,3,Spring,6.5,mountain,0
5109,14.0,64,3.0,46.0,partly cloudy,1006.65,4,Winter,8.5,mountain,0
6307,-9.0,78,12.5,84.0,overcast,999.78,1,Winter,3.0,inland,3
5287,22.0,59,12.0,47.0,overcast,1009.42,3,Winter,8.0,inland,0
7210,17.0,61,10.0,23.0,overcast,1009.33,4,Spring,7.0,mountain,0
5566,-1.0,93,5.0,85.0,partly cloudy,993.52,1,Winter,3.5,mountain,3
10532,22.0,72,5.5,84.0,partly cloudy,994.51,3,Spring,2.5,mountain,1
12093,13.0,98,6.0,63.0,overcast,1009.32,2,Summer,3.5,inland,1
6044,13.0,96,7.0,50.0,partly cloudy,1012.72,2,Winter,3.0,coastal,1
1432,19.0,57,13.0,17.0,partly cloudy,1014.16,3,Autumn,8.0,mountain,0
10432,15.0,89,15.5,92.0,overcast,1003.07,0,Winter,4.5,coastal,1
2787,40.0,77,5.5,91.0,partly cloudy,1009.27,7,Winter,5.0,mountain,0
2700,22.0,62,18.5,65.0,overcast,1018.26,2,Winter,4.0,inland,1
8491,23.0,66,8.0,18.0,partly cloudy,1017.17,3,Spring,6.0,coastal,0
10545,34.0,59,8.5,9.0,clear,1020.78,6,Winter,8.0,coastal,2
3498,3.0,72,15.5,96.0,partly cloudy,997.0,0,Winter,2.5,mountain,3
7939,25.0,95,13.5,89.0,overcast,991.58,1,Spring,2.5,coastal,1
3622,30.0,59,9.5,22.0,overcast,1004.19,3,Summer,5.0,inland,0
1971,27.0,28,6.5,15.0,partly cloudy,1024.17,10,Winter,8.0,coastal,2
209,-7.0,97,4.5,73.0,overcast,987.68,0,Winter,2.0,mountain,3
9819,32.0,69,6.5,87.0,overcast,1005.23,1,Autumn,5.0,inland,1
2600,44.0,47,2.5,8.0,clear,1026.72,6,Spring,7.5,mountain,2
10654,23.0,65,3.0,4.0,partly cloudy,1024.1,7,Spring,5.5,inland,2
6194,29.0,92,12.5,96.0,partly cloudy,1000.69,1,Spring,4.0,inland,1
9715,30.0,77,9.0,26.0,overcast,1013.05,1,Summer,7.0,mountain,0
10412,38.0,53,3.0,15.0,clear,1015.39,8,Summer,5.0,coastal,2
6696,30.0,81,9.5,72.0,overcast,1014.52,3,Summer,4.5,mountain,1
4995,22.0,82,6.0,58.0,partly cloudy,993.0,3,Summer,3.5,inland,1
11203,31.0,93,14.0,57.0,overcast,999.22,2,Summer,3.0,mountain,1
2281,31.0,90,5.5,91.0,overcast,1009.61,3,Summer,2.0,mountain,1
7548,32.0,77,6.0,26.0,overcast,1016.31,2,Summer,5.5,inland,0
4550,16.0,69,8.5,28.0,partly cloudy,1013.18,3,Winter,9.0,coastal,0
12023,-9.0,90,10.0,98.0,partly cloudy,996.55,0,Winter,1.5,mountain,3
5273,13.0,99,13.0,61.0,partly cloudy,991.35,0,Winter,3.5,coastal,1
5987,-4.0,99,11.0,64.0,overcast,980.47,1,Winter,3.0,mountain,3
9866,37.0,39,4.0,4.0,clear,1018.48,8,Spring,5.5,mountain,2
10894,20.0,67,9.0,31.0,overcast,1019.17,4,Autumn,6.0,inland,0
1056,-7.0,82,18.5,55.0,partly cloudy,992.44,0,Winter,1.0,inland,3
3104,12.0,78,6.5,59.0,partly cloudy,1016.88,3,Winter,1.5,mountain,1
10251,-7.0,93,15.5,54.0,overcast,992.53,0,Winter,2.0,mountain,3
5342,-6.0,60,9.0,54.0,partly cloudy,994.18,1,Winter,3.5,inland,3
8457,11.0,97,15.5,84.0,overcast,1002.16,0,Summer,2.5,coastal,1
7389,26.0,57,6.0,3.0,clear,1017.63,6,Spring,8.5,coastal,2
5166,11.0,65,6.0,76.0,partly cloudy,1001.26,0,Autumn,4.5,mountain,1
7832,38.0,85,9.5,86.0,clear,1018.26,0,Spring,6.0,mountain,2
11577,-9.0,91,18.0,97.0,partly cloudy,980.52,0,Winter,4.5,mountain,3
82,-5.0,73,12.0,63.0,partly cloudy,983.83,1,Winter,4.5,inland,3
4336,20.0,20,5.5,15.0,clear,1022.42,7,Summer,10.0,inland,2
7669,34.0,76,14.5,49.0,partly cloudy,1014.8,2,Winter,7.0,inland,0
2522,-3.0,98,8.0,89.0,partly cloudy,996.59,1,Winter,1.5,mountain,3
12615,32.0,65,8.0,39.0,overcast,1017.88,1,Spring,5.0,mountain,0
443,-1.0,93,13.5,62.0,overcast,988.34,0,Winter,3.5,inland,3
5442,26.0,56,7.0,1.0,partly cloudy,1023.9,8,Autumn,8.5,coastal,2
5510,33.0,59,3.0,24.0,partly cloudy,1008.7,2,Summer,7.0,coastal,0
7742,25.0,69,7.5,16.0,partly cloudy,1013.11,3,Autumn,6.5,inland,0
2251,29.0,61,10.5,39.0,overcast,1014.32,2,Summer,8.5,inland,0
9216,24.0,39,7.5,18.0,clear,1011.64,7,Summer,8.5,coastal,2
10115,-1.0,86,10.5,60.0,overcast,989.16,0,Winter,3.5,mountain,3
11866,17.0,75,14.5,64.0,overcast,1004.49,1,Summer,4.0,coastal,1
10698,24.0,69,1.5,1.0,clear,1011.39,9,Spring,5.5,coastal,2
7134,0.0,92,6.0,83.0,overcast,993.9,1,Winter,4.5,mountain,3
4167,25.0,51,10.0,31.0,partly cloudy,1019.42,3,Spring,5.5,coastal,0
591,-2.0,60,11.0,61.0,overcast,986.79,0,Winter,3.5,inland,3
9718,32.0,29,4.0,0.0,clear,1025.6,5,Summer,7.5,mountain,2
5358,-5.0,72,14.5,76.0,partly cloudy,994.11,1,Winter,3.0,mountain,3
11861,28.0,68,4.0,17.0,clear,1015.65,5,Autumn,8.5,mountain,2
10015,13.0,77,1.5,39.0,overcast,1018.15,2,Winter,7.0,mountain,0
7848,41.0,20,10.0,9.0,clear,1027.84,5,Autumn,6.0,coastal,2
4016,29.0,21,5.5,16.0,clear,1024.98,8,Autumn,7.5,coastal,2
1094,-10.0,99,5.5,94.0,partly cloudy,994.11,0,Winter,3.5,inland,3
6714,19.0,62,1.0,42.0,overcast,1001.33,1,Spring,8.0,coastal,0
9981,44.0,40,8.0,19.0,partly cloudy,1022.32,7,Autumn,7.5,coastal,2
1895,23.0,73,10.0,90.0,partly cloudy,1006.81,1,Autumn,2.0,mountain,1
12143,31.0,56,7.5,28.0,partly cloudy,1005.9,1,Winter,8.0,inland,0
7576,11.0,80,11.0,94.0,overcast,992.32,0,Winter,2.5,coastal,1
8198,-2.0,68,8.5,53.0,partly cloudy,981.32,1,Winter,4.0,mountain,3
5336,-6.0,96,7.0,77.0,partly cloudy,982.31,0,Winter,5.0,mountain,3
3490,-4.0,81,2.0,81.0,overcast,993.59,1,Winter,2.5,inland,3
12307,0.0,78,2.0,54.0,partly cloudy,992.75,0,Winter,3.5,mountain,3
7702,-6.0,76,9.5,78.0,overcast,982.59,1,Winter,3.5,mountain,3
9501,42.0,64,4.0,13.0,clear,1027.25,10,Spring,10.0,inland,2
11754,36.0,24,9.5,17.0,clear,1016.11,10,Winter,7.0,mountain,2
1354,24.0,44,8.0,1.0,clear,1021.87,6,Spring,9.5,coastal,2
10289,47.0,86,21.0,74.0,partly cloudy,1007.79,5,Winter,6.5,inland,0
12235,0.0,61,19.5,64.0,overcast,997.6,1,Winter,1.5,mountain,3
9231,-9.0,80,8.0,89.0,partly cloudy,984.2,1,Winter,2.5,mountain,3
6496,1.0,96,9.0,95.0,overcast,990.82,1,Winter,3.5,mountain,3
12472,38.0,32,1.5,10.0,clear,1010.05,6,Autumn,9.0,mountain,2
6471,23.0,68,15.0,96.0,partly cloudy,1009.24,0,Autumn,2.0,mountain,1
8224,19.0,73,18.5,80.0,overcast,1008.0,2,Spring,2.5,mountain,1
10534,0.0,70,6.0,90.0,overcast,990.81,1,Winter,1.5,mountain,3
8066,26.0,91,18.0,57.0,overcast,1012.66,1,Summer,4.5,coastal,1
9816,34.0,65,5.0,21.0,overcast,1017.51,2,Summer,5.0,inland,0
92,19.0,93,14.5,57.0,overcast,1018.44,0,Winter,4.0,inland,1
5515,-2.0,88,7.0,71.0,partly cloudy,982.88,1,Winter,3.5,mountain,3
4897,27.0,27,8.0,10.0,clear,1027.07,9,Spring,6.0,inland,2
5927,4.0,67,0.5,80.0,overcast,988.05,1,Winter,3.0,inland,3
9156,17.0,82,16.5,68.0,overcast,1005.12,0,Winter,2.0,inland,1
7529,15.0,68,5.0,39.0,partly cloudy,1015.45,1,Autumn,7.0,mountain,0
1389,29.0,42,0.0,14.0,partly cloudy,1029.98,7,Spring,7.5,mountain,2
6160,38.0,39,4.0,3.0,partly cloudy,1024.99,8,Winter,5.5,mountain,2
12575,28.0,60,15.0,51.0,overcast,1004.04,2,Winter,4.5,mountain,1
388,39.0,24,5.5,9.0,partly cloudy,1025.3,9,Winter,7.0,coastal,2
6882,26.0,38,9.5,19.0,clear,1014.32,7,Winter,6.5,inland,2
9969,28.0,79,9.5,23.0,overcast,1005.74,4,Winter,6.0,inland,0
147,31.0,87,11.0,54.0,partly cloudy,995.87,0,Spring,3.5,mountain,1
2519,31.0,82,16.0,80.0,partly cloudy,990.74,1,Autumn,1.5,mountain,1
13049,0.0,91,5.0,61.0,overcast,997.85,0,Winter,2.5,inland,3
