,temperature,humidity,wind speed,precipitation (%),cloud cover,atmospheric pressure,uv index,season,visibility (km),location,weather type
73,31.0,62,6.5,84.0,overcast,1013.61,0,Spring,4.5,inland,1
74,33.0,31,6.5,18.0,clear,1022.53,7,Summer,8.5,coastal,2
75,34.0,47,5.0,4.0,clear,1027.53,9,Spring,10.0,inland,2
76,21.0,66,13.5,29.0,partly cloudy,1018.98,3,Autumn,8.5,mountain,0
77,28.0,68,18.0,90.0,overcast,992.83,3,Winter,5.0,mountain,1
78,33.0,62,10.0,83.0,partly cloudy,1009.48,1,Summer,3.5,inland,1
79,25.0,96,6.0,90.0,overcast,1006.67,0,Autumn,4.5,mountain,1
80,27.0,73,9.5,47.0,partly cloudy,1017.82,1,Summer,7.0,coastal,0
81,49.0,75,11.5,82.0,partly cloudy,1029.09,10,Summer,7.0,coastal,2
82,-5.0,73,12.0,63.0,partly cloudy,983.83,1,Winter,4.5,inland,3
83,31.0,62,5.5,99.0,overcast,1019.92,0,Summer,4.5,mountain,1
84,2.0,91,6.5,92.0,overcast,999.46,0,Winter,2.5,inland,3
86,-7.0,78,10.0,96.0,overcast,999.99,7,Winter,1.0,inland,3
87,27.0,43,1.0,8.0,clear,1022.48,9,Summer,9.0,mountain,2
88,12.0,56,9.5,19.0,partly cloudy,1014.4,4,Winter,6.5,mountain,0
89,-7.0,93,9.0,60.0,overcast,995.63,1,Winter,4.0,inland,3
91,30.0,64,6.0,67.0,partly cloudy,1009.12,3,Summer,4.0,coastal,1
92,19.0,93,14.5,57.0,overcast,1018.44,0,Winter,4.0,inland,1
95,17.0,88,18.0,83.0,partly cloudy,1026.94,0,Spring,5.5,mountain,2
96,23.0,88,11.5,65.0,overcast,1000.74,1,Winter,5.0,mountain,1
97,28.0,35,9.5,0.0,partly cloudy,1023.62,9,Winter,10.0,coastal,2
98,-4.0,87,5.0,54.0,overcast,981.02,1,Winter,4.5,mountain,3
100,40.0,66,8.0,5.0,clear,1019.82,5,Autumn,5.5,mountain,2
101,20.0,24,3.0,6.0,clear,1013.68,9,Winter,6.5,mountain,2
102,-7.0,61,2.5,99.0,overcast,994.34,1,Winter,2.5,inland,3
103,-3.0,82,0.0,65.0,overcast,991.66,0,Winter,1.5,inland,3
104,22.0,65,6.0,14.0,partly cloudy,1010.17,8,Autumn,7.0,coastal,2
105,33.0,79,4.5,43.0,overcast,1007.94,1,Spring,7.0,coastal,0
107,13.0,80,15.5,59.0,overcast,1012.06,0,Autumn,3.5,mountain,1
108,27.0,39,5.0,16.0,clear,1021.61,5,Autumn,5.0,mountain,2
109,38.0,75,0.5,79.0,overcast,1057.69,0,Summer,10.0,inland,1
110,20.0,48,9.5,6.0,clear,1015.16,6,Autumn,8.5,mountain,2
111,19.0,82,7.0,85.0,partly cloudy,1008.5,1,Summer,3.5,coastal,1
112,18.0,70,5.0,94.0,overcast,1012.87,2,Spring,3.5,mountain,1
114,2.0,80,13.5,79.0,overcast,995.74,1,Winter,1.5,inland,3
115,1.0,81,9.5,63.0,overcast,983.99,1,Winter,3.5,mountain,3
116,22.0,69,1.0,19.0,partly cloudy,1011.5,2,Autumn,6.0,mountain,0
117,-10.0,70,2.5,56.0,overcast,989.29,1,Winter,4.0,mountain,3
118,32.0,61,5.5,53.0,overcast,995.09,2,Summer,4.0,inland,1
120,-1.0,99,2.5,72.0,overcast,998.51,0,Winter,2.0,mountain,3
121,31.0,65,1.5,18.0,overcast,1008.47,2,Summer,9.0,inland,0
122,19.0,62,1.0,14.0,partly cloudy,1016.5,2,Autumn,5.5,coastal,0
124,-1.0,83,18.0,73.0,overcast,983.46,0,Winter,1.5,inland,3
125,3.0,70,2.0,81.0,overcast,984.9,1,Winter,2.0,mountain,3
126,0.0,64,4.5,52.0,overcast,984.59,1,Winter,1.0,inland,3
127,26.0,76,9.0,68.0,overcast,1004.27,3,Spring,3.5,inland,1
128,22.0,92,19.5,81.0,overcast,1017.76,0,Winter,4.5,coastal,1
129,20.0,96,14.0,94.0,overcast,997.77,0,Summer,4.5,mountain,1
130,23.0,52,1.0,36.0,partly cloudy,1017.92,1,Spring,8.5,mountain,0
131,3.0,81,2.5,89.0,overcast,992.78,1,Winter,2.0,mountain,3
132,20.0,95,16.0,91.0,overcast,1016.14,0,Summer,2.5,mountain,1
133,-2.0,91,2.5,83.0,overcast,982.21,1,Winter,4.0,mountain,3
135,2.0,77,6.5,75.0,partly cloudy,998.0,0,Winter,3.0,mountain,3
136,16.0,67,6.5,45.0,partly cloudy,1008.69,2,Summer,5.5,coastal,0
138,-2.0,92,1.0,71.0,overcast,998.01,1,Winter,1.5,inland,3
139,20.0,50,6.5,21.0,partly cloudy,1013.93,4,Autumn,6.0,inland,0
140,0.0,64,10.5,78.0,overcast,994.62,0,Winter,3.0,mountain,3
141,22.0,48,6.0,15.0,clear,1020.0,5,Spring,9.5,inland,2
142,29.0,50,5.5,13.0,overcast,1002.04,4,Autumn,8.0,inland,0
143,4.0,77,13.0,76.0,overcast,983.25,1,Winter,2.5,mountain,3
144,40.0,39,9.5,15.0,clear,1029.84,8,Autumn,8.0,coastal,2
145,-3.0,60,8.0,94.0,overcast,981.56,1,Winter,3.0,inland,3
147,31.0,87,11.0,54.0,partly cloudy,995.87,0,Spring,3.5,mountain,1
148,41.0,72,2.5,26.0,cloudy,973.08,6,Spring,8.5,inland,1
149,33.0,77,1.0,22.0,partly cloudy,1018.78,4,Winter,8.5,mountain,0
150,-5.0,68,0.5,96.0,overcast,992.19,1,Winter,1.5,mountain,3
151,-9.0,90,1.5,97.0,overcast,999.08,1,Winter,4.5,mountain,3
152,1.0,89,7.5,76.0,partly cloudy,982.22,1,Winter,4.5,inland,3
153,13.0,62,14.0,13.0,overcast,1003.74,1,Autumn,9.0,inland,0
154,13.0,75,9.5,40.0,overcast,1005.39,2,Autumn,8.0,inland,0
156,31.0,86,13.5,78.0,overcast,999.25,3,Winter,4.0,inland,1
157,26.0,60,11.5,50.0,partly cloudy,995.67,3,Summer,3.5,inland,1
158,44.0,25,1.0,6.0,partly cloudy,1016.02,10,Summer,5.5,coastal,2
159,28.0,93,12.5,50.0,partly cloudy,997.24,0,Summer,5.0,coastal,1
160,18.0,88,15.5,88.0,overcast,997.61,1,Winter,3.5,inland,1
161,30.0,77,12.0,51.0,partly cloudy,1007.88,0,Spring,3.5,inland,1
162,24.0,50,3.5,10.0,overcast,1017.18,4,Summer,6.5,mountain,0
163,36.0,32,6.0,2.0,clear,1026.15,7,Spring,7.5,coastal,2
164,3.0,75,10.5,73.0,overcast,980.47,1,Winter,3.0,mountain,3
165,35.0,49,9.0,14.0,clear,1010.52,10,Autumn,7.0,coastal,2
166,26.0,43,7.0,18.0,partly cloudy,1024.37,5,Summer,6.0,mountain,2
167,16.0,59,11.5,37.0,partly cloudy,1004.12,4,Summer,6.5,mountain,0
169,34.0,51,9.0,40.0,overcast,1009.21,4,Spring,6.0,coastal,0
170,33.0,88,19.0,98.0,overcast,998.8,2,Autumn,3.0,mountain,1
171,17.0,72,20.0,56.0,overcast,990.4,0,Summer,4.0,mountain,1
172,30.0,58,1.0,43.0,overcast,1018.95,2,Winter,6.0,inland,0
173,17.0,69,2.0,35.0,overcast,1009.83,1,Spring,8.5,coastal,0
174,-5.0,94,9.0,63.0,overcast,989.82,0,Winter,5.0,mountain,3
175,17.0,64,19.5,95.0,overcast,1016.54,2,Spring,5.0,coastal,1
176,-13.0,60,9.5,18.0,partly cloudy,931.79,7,Winter,5.5,coastal,0
177,34.0,88,19.5,73.0,overcast,1018.01,1,Spring,4.0,inland,1
179,13.0,77,5.0,68.0,cloudy,1021.09,3,Autumn,8.5,inland,0
180,23.0,35,3.5,12.0,clear,1028.43,7,Spring,8.0,inland,2
181,16.0,96,19.0,57.0,overcast,1003.05,0,Spring,4.5,inland,1
182,-7.0,70,8.5,62.0,overcast,993.19,1,Winter,2.0,mountain,3
183,3.0,90,9.5,87.0,overcast,997.83,0,Winter,2.5,mountain,3
184,39.0,54,0.0,3.0,clear,1024.65,8,Autumn,9.5,inland,2
185,21.0,64,19.0,96.0,partly cloudy,1006.43,0,Winter,4.5,coastal,1
186,38.0,69,6.5,19.0,clear,1011.2,5,Spring,8.0,coastal,2
187,-6.0,81,19.5,66.0,overcast,995.18,0,Winter,1.5,inland,3
188,10.0,80,16.5,99.0,overcast,1005.34,3,Spring,3.5,coastal,1
189,23.0,73,14.5,32.0,partly cloudy,1002.91,4,Autumn,7.5,mountain,0
190,38.0,21,0.0,14.0,cloudy,960.81,2,Autumn,6.0,mountain,3
191,15.0,97,12.5,62.0,overcast,1013.38,2,Winter,3.0,coastal,1
192,20.0,55,2.0,7.0,clear,1029.67,9,Spring,9.0,inland,2
193,26.0,82,18.0,54.0,partly cloudy,998.36,1,Autumn,3.0,coastal,1
194,23.0,60,19.5,62.0,partly cloudy,1014.54,2,Winter,4.5,coastal,1
195,26.0,68,4.0,39.0,partly cloudy,1016.39,4,Summer,5.5,mountain,0
196,10.0,99,16.0,58.0,overcast,995.85,2,Autumn,1.5,mountain,1
197,20.0,42,4.0,13.0,partly cloudy,1028.3,5,Autumn,8.0,mountain,2
199,-1.0,94,13.0,74.0,overcast,981.13,0,Winter,4.0,inland,3
200,28.0,65,13.5,48.0,partly cloudy,1013.19,4,Summer,5.5,mountain,0
201,-10.0,94,7.5,98.0,partly cloudy,989.37,1,Winter,4.0,mountain,3
202,41.0,57,4.0,19.0,clear,1025.59,10,Spring,6.5,coastal,2
203,34.0,78,14.5,13.0,overcast,1014.07,1,Summer,6.0,mountain,0
205,28.0,56,8.5,12.0,partly cloudy,1013.53,1,Winter,7.5,coastal,0
209,-7.0,97,4.5,73.0,overcast,987.68,0,Winter,2.0,mountain,3
212,31.0,100,15.0,90.0,clear,1019.98,8,Summer,5.0,coastal,2
213,19.0,97,9.0,56.0,overcast,1015.74,3,Spring,2.0,mountain,1
214,34.0,97,17.5,76.0,overcast,1016.2,1,Summer,2.5,coastal,1
215,10.0,80,17.0,69.0,overcast,1012.7,3,Summer,1.5,coastal,1
216,28.0,76,0.5,16.0,partly cloudy,1018.62,4,Summer,7.5,inland,0
217,18.0,74,0.5,39.0,overcast,1007.53,1,Autumn,8.5,mountain,0
218,32.0,63,3.0,46.0,partly cloudy,1006.96,1,Summer,8.5,inland,0
219,-7.0,82,7.5,57.0,overcast,985.06,0,Winter,2.5,mountain,3
220,22.0,61,8.5,13.0,partly cloudy,1009.6,2,Spring,6.5,inland,0
222,23.0,78,15.0,60.0,overcast,991.36,2,Autumn,4.0,inland,1
223,27.0,83,16.0,53.0,overcast,1003.68,1,Summer,2.5,coastal,1
224,-9.0,67,13.0,92.0,overcast,981.36,0,Winter,2.0,mountain,3
225,-10.0,92,17.0,96.0,overcast,982.06,1,Winter,4.5,mountain,3
226,10.0,68,8.0,99.0,overcast,1014.01,3,Spring,1.5,coastal,1
227,35.0,33,7.0,5.0,partly cloudy,1025.51,5,Winter,7.5,coastal,2
230,2.0,86,11.5,64.0,partly cloudy,999.36,1,Winter,2.5,mountain,3
231,30.0,71,12.0,92.0,partly cloudy,992.51,2,Spring,3.0,mountain,1
232,30.0,55,5.0,31.0,partly cloudy,1004.15,2,Autumn,6.5,mountain,0
233,14.0,68,11.5,11.0,overcast,1012.85,2,Winter,6.5,coastal,0
234,19.0,91,18.5,97.0,overcast,1011.14,0,Autumn,4.0,inland,1
235,34.0,71,4.0,35.0,overcast,1001.54,3,Summer,6.5,coastal,0
236,27.0,79,14.0,29.0,partly cloudy,1008.79,1,Summer,7.5,inland,0
238,-3.0,76,10.0,85.0,overcast,986.77,0,Winter,3.5,mountain,3
240,27.0,54,7.0,11.0,partly cloudy,1015.78,2,Summer,6.0,coastal,0
242,24.0,27,2.0,12.0,partly cloudy,1015.66,7,Spring,6.0,inland,2
243,33.0,69,8.0,5.0,clear,1026.28,9,Autumn,9.5,inland,2
245,32.0,59,0.5,18.0,partly cloudy,1016.89,2,Spring,7.0,inland,0
246,-10.0,72,2.5,96.0,overcast,988.45,0,Winter,2.0,mountain,3
248,27.0,26,9.0,14.0,partly cloudy,1018.24,5,Winter,7.0,inland,2
249,-9.0,71,9.5,83.0,overcast,996.4,1,Winter,3.5,inland,3
250,28.0,86,9.5,52.0,overcast,1005.41,3,Autumn,3.0,coastal,1
251,-4.0,64,1.0,85.0,overcast,993.69,1,Winter,1.5,inland,3
252,25.0,51,5.0,18.0,clear,1019.65,7,Autumn,7.0,coastal,2
253,12.0,92,20.0,51.0,overcast,1010.65,3,Spring,2.0,mountain,1
255,14.0,65,6.5,26.0,partly cloudy,1019.03,1,Autumn,6.5,coastal,0
256,2.0,71,11.0,66.0,overcast,984.83,0,Winter,3.0,mountain,3
257,43.0,24,7.0,1.0,clear,1020.87,9,Summer,7.0,inland,2
258,-10.0,84,5.0,75.0,overcast,990.82,0,Winter,4.5,mountain,3
260,25.0,86,11.0,75.0,overcast,1006.57,0,Autumn,4.0,coastal,1
261,30.0,96,4.5,97.0,partly cloudy,1001.66,1,Summer,5.5,mountain,0
263,12.0,89,17.5,75.0,overcast,997.65,2,Autumn,2.0,inland,1
264,20.0,48,3.0,10.0,clear,1019.81,10,Autumn,9.5,inland,2
265,32.0,71,19.0,92.0,overcast,1003.24,3,Summer,2.5,mountain,1
266,13.0,79,11.0,63.0,overcast,990.71,2,Spring,4.5,coastal,1
269,25.0,57,3.5,0.0,partly cloudy,1016.85,10,Summer,8.5,inland,2
270,-4.0,69,14.5,56.0,overcast,994.53,1,Winter,3.0,mountain,3
272,0.0,73,4.0,90.0,partly cloudy,993.09,1,Winter,3.0,inland,3
273,41.0,33,3.5,5.0,partly cloudy,1021.88,6,Spring,8.0,coastal,2
274,35.0,50,7.0,3.0,clear,1011.22,7,Autumn,7.5,coastal,2
276,23.0,63,5.0,2.0,clear,1028.61,9,Winter,9.0,coastal,2
277,34.0,31,9.5,9.0,clear,1024.74,10,Spring,5.5,inland,2
278,28.0,97,12.0,99.0,partly cloudy,1014.95,2,Winter,2.5,inland,1
279,33.0,63,8.5,93.0,overcast,990.33,2,Summer,3.0,coastal,1
281,12.0,88,9.5,76.0,partly cloudy,990.58,1,Spring,5.0,mountain,1
282,11.0,66,13.5,39.0,partly cloudy,1005.33,2,Summer,7.5,coastal,0
283,19.0,72,11.0,25.0,overcast,1009.68,4,Spring,7.5,mountain,0
284,18.0,87,18.0,58.0,overcast,1001.57,1,Summer,1.5,inland,1
285,15.0,98,6.0,84.0,partly cloudy,1014.45,2,Autumn,3.5,coastal,1
286,13.0,76,0.0,12.0,partly cloudy,1006.38,3,Spring,5.5,inland,0
288,-7.0,89,1.0,63.0,overcast,993.79,1,Winter,4.0,mountain,3
289,-8.0,98,14.5,94.0,overcast,989.03,0,Winter,4.0,inland,3
290,1.0,70,16.5,59.0,overcast,990.8,1,Winter,1.5,mountain,3
291,21.0,72,19.0,57.0,overcast,990.71,2,Winter,2.0,coastal,1
293,21.0,46,7.5,18.0,clear,1012.01,7,Summer,6.0,coastal,2
294,-2.0,72,9.5,98.0,overcast,991.7,1,Winter,1.5,mountain,3
295,31.0,95,19.0,51.0,overcast,1013.15,3,Spring,2.5,mountain,1
296,24.0,77,13.5,89.0,partly cloudy,1019.08,2,Summer,4.0,inland,1
297,26.0,68,15.0,53.0,partly cloudy,1014.58,3,Winter,2.5,inland,1
299,22.0,72,11.0,23.0,overcast,1015.73,2,Winter,5.5,inland,0
301,32.0,58,6.5,4.0,clear,1023.83,6,Summer,9.0,mountain,2
302,-10.0,63,17.5,70.0,partly cloudy,993.68,0,Winter,3.5,mountain,3
303,26.0,67,10.0,27.0,partly cloudy,1002.53,4,Summer,6.5,inland,0
304,35.0,58,3.0,19.0,clear,1015.4,5,Winter,5.0,mountain,2
305,11.0,76,6.0,71.0,partly cloudy,974.29,7,Summer,9.0,coastal,1
306,26.0,27,5.5,14.0,partly cloudy,1027.6,7,Spring,7.5,coastal,2
307,43.0,50,8.0,16.0,partly cloudy,1017.68,5,Summer,5.5,coastal,2
308,33.0,58,8.0,41.0,overcast,1017.0,2,Winter,8.0,coastal,0
309,5.0,71,9.5,93.0,overcast,985.82,6,Winter,6.0,mountain,3
310,23.0,62,10.0,20.0,overcast,1003.85,3,Winter,9.0,mountain,0
311,-6.0,94,2.5,93.0,overcast,989.21,1,Winter,1.5,inland,3
314,31.0,62,6.0,21.0,partly cloudy,1015.8,1,Autumn,5.5,inland,0
315,32.0,27,8.0,18.0,partly cloudy,1010.28,8,Spring,5.5,inland,2
317,20.0,86,14.0,64.0,overcast,1000.52,1,Autumn,2.0,coastal,1
318,22.0,58,13.5,20.0,overcast,1003.77,3,Winter,7.5,mountain,0
319,15.0,74,19.0,81.0,partly cloudy,1017.45,1,Summer,1.5,inland,1
320,11.0,82,14.5,96.0,overcast,1014.44,8,Autumn,7.0,inland,0
321,19.0,79,11.0,53.0,overcast,1016.38,2,Spring,4.0,mountain,1
322,-14.0,48,5.0,74.0,partly cloudy,1022.96,8,Spring,5.5,coastal,1
323,14.0,80,13.0,78.0,clear,1011.38,4,Autumn,1.5,mountain,2
324,27.0,73,12.5,26.0,partly cloudy,1008.72,4,Winter,6.0,mountain,0
325,21.0,25,1.0,14.0,clear,1016.38,5,Autumn,7.0,coastal,2
326,-4.0,89,15.5,75.0,partly cloudy,994.04,1,Winter,2.5,mountain,3
327,2.0,70,17.0,96.0,partly cloudy,992.06,0,Winter,4.5,inland,3
328,-3.0,98,0.5,60.0,partly cloudy,991.41,0,Winter,2.0,mountain,3
329,42.0,28,8.0,1.0,partly cloudy,1019.49,9,Spring,6.5,mountain,2
330,18.0,91,18.0,91.0,partly cloudy,1000.55,1,Autumn,2.5,coastal,1
331,10.0,88,18.5,92.0,overcast,998.65,6,Winter,1.5,coastal,1
333,29.0,63,11.5,52.0,overcast,1017.35,2,Summer,2.0,inland,1
335,16.0,87,14.0,50.0,overcast,1001.96,0,Summer,4.5,mountain,1
336,28.0,52,13.5,30.0,partly cloudy,1011.14,3,Spring,5.0,coastal,0
337,16.0,78,15.0,55.0,overcast,1012.87,0,Summer,1.0,mountain,1
338,11.0,50,14.0,15.0,overcast,1003.19,4,Summer,5.5,mountain,0
339,18.0,61,5.0,19.0,partly cloudy,1011.7,2,Spring,6.5,inland,0
340,1.0,65,8.0,62.0,overcast,996.55,0,Winter,5.0,mountain,3
341,12.0,70,2.5,43.0,partly cloudy,1016.35,2,Autumn,6.5,coastal,0
343,12.0,97,5.5,86.0,overcast,1005.53,3,Winter,3.0,mountain,1
344,3.0,73,10.5,65.0,partly cloudy,993.69,1,Winter,2.5,mountain,3
345,-7.0,79,13.0,86.0,overcast,989.76,0,Winter,1.5,mountain,3
346,21.0,28,7.5,14.0,clear,1015.26,10,Summer,5.5,inland,2
347,39.0,74,9.0,87.0,overcast,1000.45,7,Winter,8.0,inland,0
348,26.0,75,17.0,61.0,overcast,1002.64,0,Summer,1.0,coastal,1
349,0.0,82,17.0,50.0,overcast,988.71,1,Winter,4.5,mountain,3
350,27.0,69,3.0,33.0,overcast,1018.37,4,Spring,6.5,coastal,0
351,22.0,21,4.5,19.0,clear,1026.59,5,Summer,5.0,coastal,2
352,13.0,75,0.5,33.0,overcast,1006.64,1,Spring,8.0,mountain,0
353,25.0,74,0.0,33.0,partly cloudy,1011.2,1,Summer,8.0,coastal,0
354,30.0,81,17.0,51.0,overcast,995.93,0,Autumn,1.0,inland,1
357,37.0,62,3.0,18.0,clear,1022.64,10,Winter,9.0,coastal,2
360,21.0,97,19.5,74.0,overcast,996.4,3,Spring,3.5,inland,1
361,17.0,51,10.5,21.0,overcast,1006.16,2,Summer,8.0,inland,0
362,22.0,71,9.5,55.0,overcast,1018.77,1,Summer,3.5,coastal,1
363,36.0,66,2.0,13.0,clear,1010.25,6,Summer,6.5,inland,2
364,25.0,65,7.0,0.0,clear,1014.06,10,Winter,5.0,coastal,2
365,27.0,55,4.5,35.0,partly cloudy,1013.66,1,Spring,5.5,inland,0
367,28.0,51,6.5,8.0,partly cloudy,1011.58,10,Autumn,8.5,mountain,2
368,34.0,69,7.5,32.0,overcast,1019.04,2,Spring,8.5,mountain,0
369,2.0,86,1.5,76.0,overcast,990.66,1,Winter,2.5,inland,3
370,16.0,58,7.5,38.0,partly cloudy,1001.5,1,Winter,7.5,coastal,0
371,-7.0,85,2.0,99.0,partly cloudy,993.79,0,Winter,2.5,inland,3
372,-3.0,81,6.0,87.0,overcast,985.5,0,Winter,4.5,mountain,3
373,42.0,39,7.5,17.0,partly cloudy,1029.23,5,Spring,9.5,inland,2
374,-5.0,69,17.0,76.0,overcast,981.49,1,Winter,3.5,inland,3
375,12.0,69,17.5,73.0,overcast,990.32,2,Autumn,2.0,coastal,1
377,10.0,98,14.0,97.0,overcast,1007.79,1,Spring,4.5,inland,1
378,23.0,28,6.5,7.0,clear,1022.75,5,Summer,8.5,coastal,2
380,24.0,79,12.0,12.0,partly cloudy,1013.39,3,Spring,6.0,coastal,0
382,44.0,29,1.0,12.0,clear,1012.63,10,Autumn,6.0,inland,2
385,30.0,72,5.5,97.0,overcast,1011.47,0,Spring,4.0,coastal,1
386,10.0,94,13.5,62.0,overcast,1005.18,1,Autumn,5.0,coastal,1
387,28.0,59,9.0,37.0,overcast,1004.99,2,Spring,6.0,inland,0
388,39.0,24,5.5,9.0,partly cloudy,1025.3,9,Winter,7.0,coastal,2
391,23.0,25,10.0,15.0,clear,1016.92,7,Spring,8.5,mountain,2
392,29.0,34,0.5,17.0,clear,1017.92,10,Spring,6.0,inland,2
393,34.0,50,7.5,41.0,partly cloudy,1012.99,2,Winter,7.0,coastal,0
394,29.0,61,14.0,33.0,overcast,1004.54,3,Autumn,5.5,coastal,0
397,12.0,74,16.0,78.0,overcast,994.11,2,Winter,2.0,coastal,1
399,33.0,34,10.0,2.0,partly cloudy,1020.04,8,Summer,9.5,mountain,2
400,-8.0,85,9.0,91.0,partly cloudy,987.23,1,Winter,2.0,mountain,3
401,29.0,95,15.0,56.0,overcast,1005.12,2,Autumn,3.0,mountain,1
402,37.0,50,2.5,9.0,clear,1016.98,5,Spring,7.0,inland,2
403,-2.0,63,7.5,94.0,overcast,980.74,0,Winter,1.5,inland,3
405,21.0,68,3.0,30.0,partly cloudy,1019.34,1,Autumn,8.0,coastal,0
406,36.0,21,4.5,19.0,clear,1020.62,6,Winter,6.5,coastal,2
407,20.0,51,3.5,34.0,partly cloudy,1001.09,4,Autumn,7.0,inland,0
408,21.0,76,7.0,57.0,overcast,1014.41,3,Autumn,1.5,coastal,1
409,12.0,62,5.5,79.0,partly cloudy,1012.12,4,Winter,5.5,coastal,1
410,12.0,77,4.0,45.0,partly cloudy,1008.41,4,Spring,8.5,inland,0
411,10.0,57,8.5,36.0,partly cloudy,1011.7,4,Summer,8.0,coastal,0
412,34.0,31,5.0,6.0,clear,1013.68,7,Spring,7.0,inland,2
414,13.0,97,8.5,96.0,overcast,1017.24,3,Autumn,3.5,coastal,1
415,32.0,96,6.5,55.0,overcast,1002.53,2,Summer,2.5,coastal,1
